form	lemma	freq	seg	pos	gloss
taba'	taba'	10			
tabo:	tabo:	10			
taboe'	taboe'	10			
tae'aesen	tae'aesen	10			
taniSowaw	taniSowaw	10			
tatabo:	tatabo:	10			
tat'eSen	tat'eSen	10			
tibtibon	tibtibon	10			
tikaehoy	tikaehoy	10			
tilhaehael	tilhaehael	10			
tiniway	tiniway	10			
tiSiSil	tiSiSil	10			
tobok	tobok	10			
tomaew'an	tomaew'an	10			
tomawbon	tomawbon	10			
tono'	tono'	10			
to'oya'	to'oya'	10			
wazwaz	wazwaz	10			
zazi:iz	zazi:iz	10			
kasbez	kasbez	9			
kaSbez	kaSbez	9			
'a'aro:	'a'aro:	9			
'alep	'alep	9			
'amoeh	'amoeh	9			
'a'omaS	'a'omaS	9			
'azem	'azem	9			
baya:	baya:	9			
bino:ay	bino:ay	9			
hahangaw	hahangaw	9			
hayhayo'	hayhayo'	9			
hinangra:	hinangra:	9			
hiniwa'	hiniwa'	9			
hinoko'	hinoko'	9			
hiya'en	hiya'en	9			
hoero:	hoero:	9			
homobaz	homobaz	9			
homom	homom	9			
honay	honay	9			
hopil	hopil	9			
'ilo'	'ilo'	9			
'ino:ol	'ino:ol	9			
'inosa:	'inosa:	9			
'iri:	'iri:	9			
''is	''is	9			
'iSkakowa:om	'iSkakowa:om	9			
'itayso:	'itayso:	9			
ka:angaromiSan	ka:angaromiSan	9			
ka:asen	ka:asen	9			
ka:ay	ka:ay	9			
ka'ina'an	ka'ina'an	9			
kak'ayaeh	kak'ayaeh	9			
kakrowaSekan	kakrowaSekan	9			
kaliS	kaliS	9			
kamez	kamez	9			
kanSo'	kanSo'	9			
kapak'iya'zawan	kapak'iya'zawan	9			
kapakselan	kapakselan	9			
kapamowa'en	kapamowa'en	9			
kapanpanabih	kapanpanabih	9			
karim'aenan	karim'aenan	9			
kashaw	kashaw	9			
kasi'aelan	kasi'aelan	9			
katononan	katononan	9			
kawhaenan	kawhaenan	9			
kawkinSa:o'	kawkinSa:o'	9			
kaybaybaw	kaybaybaw	9			高（氏族姓）
kinotimo'an	kinotimo'an	9			
kita'er	kita'er	9			
kolaboeh	kolaboeh	9			
koma:at	koma:at	9			
komawtaw	komawtaw	9			
komoring	komoring	9			
lakayen	lakayen	9			
lamlam	lamlam	9			
laSo'	laSo'	9			
manga'nga'	manga'nga'	9			
min'alay	min'alay	9			
minari'	minari'	9			
minhae'tiS	minhae'tiS	9			
minSawi'	minSawi'	9			
mintari:	mintari:	9			
monpoSal	monpoSal	9			
na'amiSan	na'amiSan	9			
ngo:o'	ngo:o'	9			
'omapis	'omapis	9			
'omaw	'omaw	9			
'osa:	'osa:	9			
'oSa'en	'oSa'en	9			
pa:tatimae'	pa:tatimae'	9			
pakhayza'	pakhayza'	9			
paklobih	paklobih	9			
pamari'	pamari'	9			
pamowa'en	pamowa'en	9			
pa'onhael	pa'onhael	9			
papazeng	papazeng	9			
patonay	patonay	9			
payhikor	payhikor	9			
pina:tol	pina:tol	9			
pinamowa'an	pinamowa'an	9			
pinataSan	pinataSan	9			
pinilSa:ay	pinilSa:ay	9			
pinobih	pinobih	9			
posik	posik	9			
rae'iS	rae'iS	9			
rakep	rakep	9			
rareme:	rareme:	9			
reme:	reme:	9			
reme:en	reme:en	9			
rinakep	rinakep	9			
ro:o'	ro:o'	9			
rohaenan	rohaenan	9			
romiS	romiS	9			
ropa:	ropa:	9			
Sama:	Sama:	9			
Sanmotot	Sanmotot	9			
sa'sa'ih	sa'sa'ih	9			
sihoe:	sihoe:	9			
Sina'	Sina'	9			
Sinpanan	Sinpanan	9			
Sipaskayzaeh	Sipaskayzaeh	9			
sisaw	sisaw	9			
sisiyap	sisiyap	9			
siyopan	siyopan	9			
Somater	Somater	9			
somazek	somazek	9			
Somibae:aeh	Somibae:aeh	9			
somoloeh	somoloeh	9			
Sopan	Sopan	9			
ta:nepen	ta:nepen	9			
taboway	taboway	9			
tae'aes	tae'aes	9			
taklobih	taklobih	9			
tasi'ael	tasi'ael	9			
taSilotor	taSilotor	9			
tawbon	tawbon	9			
tektek	tektek	9			
temne'	temne'	9			
tikaehaew	tikaehaew	9			
tilka:an	tilka:an	9			
tinaew'an	tinaew'an	9			
tiway	tiway	9			
tokoeh	tokoeh	9			
tomkaw	tomkaw	9			
tomoroe'	tomoroe'	9			
tortoroe'	tortoroe'	9			
wahoer	wahoer	9			
SaSepe:	SaSepe:	8			
sasepe:	sasepe:	8			
tat'eS	tat'eS	8			
tat'es	tat'es	8			
'	'	8			
'a''	'a''	8			
'a'a:ih	'a'a:ih	8			
'a'apol	'a'apol	8			
'ae:em	'ae:em	8			
'ae'aewzaeh	'ae'aewzaeh	8			
'alibihin	'alibihin	8			
'aliman	'aliman	8			
'alnoSaySiyat	'alnoSaySiyat	8			
'angang	'angang	8			
'ar'araway	'ar'araway	8			
'awngaw	'awngaw	8			
'ayloSay	'ayloSay	8			
'aza'	'aza'	8			
'azipin	'azipin	8			
baba:aw	baba:aw	8			剛剛
baba:inan	baba:inan	8			懶洋洋
babaki'	babaki'	8			大拇指
baboyoe'	baboyoe'	8			生薑
bilisin	bilisin	8			
biskol	biskol	8			
bizo'bizo'an	bizo'bizo'an	8			
bo:ya'	bo:ya'	8			
haepis	haepis	8			
haha:ih	haha:ih	8			
hahway	hahway	8			
halehez	halehez	8			
haloeh	haloeh	8			
hasengen	hasengen	8			
hebelen	hebelen	8			
hinalay	hinalay	8			
hinawaeh	hinawaeh	8			
hinbasezan	hinbasezan	8			
hinemek	hinemek	8			
hintabo'	hintabo'	8			
hipo'	hipo'	8			
hiwa'en	hiwa'en	8			
hiyop	hiyop	8			
hola'	hola'	8			
homabaeh	homabaeh	8			
homaseng	homaseng	8			
homataS	homataS	8			
homila:	homila:	8			
homomom	homomom	8			
hon'alih	hon'alih	8			
horok	horok	8			
'inalep	'inalep	8			
'inay'ino'	'inay'ino'	8			
'inleb	'inleb	8			
'insiya'a	'insiya'a	8			
'iyahinangih	'iyahinangih	8			
ka:ih	ka:ih	8			
ka'alingo'an	ka'alingo'an	8			
kaehkaehoyan	kaehkaehoyan	8			
kakabaeh	kakabaeh	8			
kalahangen	kalahangen	8			
kalangiyaw	kalangiyaw	8			
kalihokan	kalihokan	8			
kalkalaeh	kalkalaeh	8			
kamapotoy	kamapotoy	8			
kamatomkaw	kamatomkaw	8			
kan	kan	8			
kapahikor	kapahikor	8			
kapa'inSaylo'an	kapa'inSaylo'an	8			
kapasi'ael	kapasi'ael	8			
kapaywa:aken	kapaywa:aken	8			
kapranawan	kapranawan	8			
kaSa:engen	kaSa:engen	8			
kaSahoe'an	kaSahoe'an	8			
kaSateran	kaSateran	8			
kaSateren	kaSateren	8			
ka'Siyap	ka'Siyap	8			
katalekan	katalekan	8			
katortoroe'en	katortoroe'en	8			
kibizo'	kibizo'	8			
ki'oeway	ki'oeway	8			
kipazayen	kipazayen	8			
komapos	komapos	8			
kominmaeh	kominmaeh	8			
komowaS	komowaS	8			
kowis	kowis	8			
la:ong	la:ong	8			
lala:or	lala:or	8			
lineket	lineket	8			
liso:	liso:	8			
lomaSo'	lomaSo'	8			
ma:	ma:	8			
ma:bae'soeh	ma:bae'soeh	8			
ma:ong	ma:ong	8			
mak'aehae'	mak'aehae'	8			
makaksi'ael	makaksi'ael	8			
mangowip	mangowip	8			
ma'onhael	ma'onhael	8			
maSkolhoh	maSkolhoh	8			
masmasay	masmasay	8			
maykaSpat	maykaSpat	8			
maylal'oz	maylal'oz	8			
maynonak	maynonak	8			
miltamako'	miltamako'	8			
minaehtang	minaehtang	8			
minahoek	minahoek	8			
min'alewez	min'alewez	8			
minboka:	minboka:	8			
minboway	minboway	8			
minlakay	minlakay	8			
minobih	minobih	8			
moetae'	moetae'	8			
ngangeselan	ngangeselan	8			
ngowipani	ngowipani	8			
'oki'	'oki'	8			
'omaro:	'omaro:	8			
'omilo'	'omilo'	8			
'omitol	'omitol	8			
'omowaz	'omowaz	8			
'opi:	'opi:	8			
pa:ngas	pa:ngas	8			
pa'ayna:a'	pa'ayna:a'	8			
pa'eseng	pa'eseng	8			
pahila:	pahila:	8			
pakalbelen	pakalbelen	8			
pak'isis	pak'isis	8			
pak'iya'zaw	pak'iya'zaw	8			
pakkayzaeh	pakkayzaeh	8			
pakSa:o'	pakSa:o'	8			
panrahi:	panrahi:	8			
papa'aehae'	papa'aehae'	8			
papoti'	papoti'	8			
paprae:iw	paprae:iw	8			
pasi'aelen	pasi'aelen	8			
paSiba:'	paSiba:'	8			
patabil	patabil	8			
pawrahem	pawrahem	8			
pawromiS	pawromiS	8			
payhini	payhini	8			
pilpazay	pilpazay	8			
pingi'	pingi'	8			
pinSa'o:ol	pinSa'o:ol	8			
piza'	piza'	8			
ponlakay	ponlakay	8			
ramay	ramay	8			
rara'eten	rara'eten	8			
rararomaehan	rararomaehan	8			
raroton	raroton	8			
raylis	raylis	8			
raylisin	raylisin	8			
rinakal	rinakal	8			
roma:ol	roma:ol	8			
romhaep	romhaep	8			
Sa'iS	Sa'iS	8			
Sakap	Sakap	8			
sale'e:	sale'e:	8			
Sangay	Sangay	8			
Sanhoero:	Sanhoero:	8			
Sanibih	Sanibih	8			
SaSolotSolot	SaSolotSolot	8			
senge:	senge:	8			
Si'akoey	Si'akoey	8			
Sibae:aeh	Sibae:aeh	8			
Siboeloe'	Siboeloe'	8			
Sihabaeh	Sihabaeh	8			
Sikita'	Sikita'	8			
sina''	sina''	8			
sinakeb	sinakeb	8			
Sinibae:aeh	Sinibae:aeh	8			
Sinibae:aehan	Sinibae:aehan	8			
sinipsip	sinipsip	8			
sinisaw	sinisaw	8			
Siparae'oe:	Siparae'oe:	8			
Sipasay	Sipasay	8			
Sipazeng	Sipazeng	8			
Sir'ar	Sir'ar	8			
Sitabo:	Sitabo:	8			
soloehen	soloehen	8			
SomikSik	SomikSik	8			
Somin	Somin	8			
Somina'	Somina'	8			
Somowaw	Somowaw	8			
tae:ae'	tae:ae'	8			
taleken	taleken	8			
tango:	tango:	8			
tani	tani	8			
tanohila:	tanohila:	8			
taray	taray	8			
taSihobos	taSihobos	8			
tatamol	tatamol	8			
tati:iS	tati:iS	8			
tatikot	tatikot	8			
teleng	teleng	8			
tibae:iw	tibae:iw	8			
tilibi:	tilibi:	8			
timae'	timae'	8			
tinawae'an	tinawae'an	8			
tinoroe'	tinoroe'	8			
tiS'a''	tiS'a''	8			
tiSla:ong	tiSla:ong	8			
tiwakit	tiwakit	8			
tomepeS	tomepeS	8			
to'to'en	to'to'en	8			
wa:or	wa:or	8			
ze:ez	ze:ez	8			
zi:iz	zi:iz	8			
'a'aew	'a'aew	7			
'abe'	'abe'	7			
'ae:'ae:aew	'ae:'ae:aew	7			
'a'e:eS	'a'e:eS	7			
'a'ehe:	'a'ehe:	7			
'aelae'	'aelae'	7			
'aez'ez	'aez'ez	7			
'aloso:	'aloso:	7			
'aro:	'aro:	7			
'awan	'awan	7			
'ayzing	'ayzing	7			
'azis	'azis	7			
ba'ay	ba'ay	7			男子名
babiSbiS	babiSbiS	7			都很痛
babotoe'	babotoe'	7			綁的工具
bae:iwin	bae:iwin	7			買（受事）
baesaeh	baesaeh	7			
bi:wa'	bi:wa'	7			雷
biyara:	biyara:	7			
botoe'en	botoe'en	7			
botol	botol	7			
habon	habon	7			
hae:ar	hae:ar	7			
hael	hael	7			
hahili'	hahili'	7			
hahola'	hahola'	7			
hakaS	hakaS	7			
halay	halay	7			
halis	halis	7			
hames	hames	7			
hangal	hangal	7			
hangra:	hangra:	7			
hanSan	hanSan	7			
hara:'	hara:'	7			
haseb	haseb	7			
hayhayno'	hayhayno'	7			
hazab	hazab	7			
hazaben	hazaben	7			
hekla'	hekla'	7			
hinbaebae'aet	hinbaebae'aet	7			
hinkawton	hinkawton	7			
hin'ohay	hin'ohay	7			
hirhir	hirhir	7			
hiSon	hiSon	7			
hita'	hita'	7			
hobaz	hobaz	7			
hoehoeh	hoehoeh	7			
homangra:	homangra:	7			
homatiS	homatiS	7			
homboe'	homboe'	7			
'ir'ira:'an	'ir'ira:'an	7			
'iriri:'	'iriri:'	7			
'iSbabangoe'	'iSbabangoe'	7			
'it'iti'an	'it'iti'an	7			
'iyabolalas	'iyabolalas	7			
ka:ra'	ka:ra'	7			
ka'alSo:olan	ka'alSo:olan	7			
ka'ameten	ka'ameten	7			
kabakbaken	kabakbaken	7			
kaehma'	kaehma'	7			
kaehoey	kaehoey	7			
ka'inowan	ka'inowan	7			
kakayzaehan	kakayzaehan	7			
kaketelen	kaketelen	7			
kakiS'alayan	kakiS'alayan	7			
kakongkongan	kakongkongan	7			
kakowihin	kakowihin	7			
kaksi'aelan	kaksi'aelan	7			
kal	kal	7			
kal'oe'	kal'oe'	7			
kamahayap	kamahayap	7			
kamamatawaw	kamamatawaw	7			
kapSiloe'	kapSiloe'	7			
kaptimasa'	kaptimasa'	7			
karakepen	karakepen	7			
ka'sa'	ka'sa'	7			
kasbol	kasbol	7			
kaSepe:an	kaSepe:an	7			
kaSnay'oes'oeso'an	kaSnay'oes'oeso'an	7			
kaSotatimae'an	kaSotatimae'an	7			
kaStari:	kaStari:	7			
kaStata:	kaStata:	7			
katapa:ngasan	katapa:ngasan	7			
kawkinsi'ael	kawkinsi'ael	7			
ke:eb	ke:eb	7			
kikay	kikay	7			
kiko:	kiko:	7			
kinoring	kinoring	7			
kinra:aman	kinra:aman	7			
kiraeh	kiraeh	7			
kome:eb	kome:eb	7			
komsi'ael	komsi'ael	7			
konkononan	konkononan	7			
kontae'	kontae'	7			
kopiyak	kopiyak	7			
kowakowaSan	kowakowaSan	7			
lalaw	lalaw	7			
lalayar	lalayar	7			
lamo:	lamo:	7			
loklok	loklok	7			
lotor	lotor	7			
ma:potoS	ma:potoS	7			
mal'az'aza'	mal'az'aza'	7			
mal'oehaez	mal'oehaez	7			
maltikal	maltikal	7			
marke:	marke:	7			
maybih	maybih	7			
mayhini	mayhini	7			
mikas	mikas	7			
minanra:an	minanra:an	7			
minkakamoeh	minkakamoeh	7			
min'oetoeh	min'oetoeh	7			
minowa:'	minowa:'	7			
minpongaeh	minpongaeh	7			
miSngangahe:	miSngangahe:	7			
moneSpat	moneSpat	7			
nakhiza	nakhiza	7			
'oehaez	'oehaez	7			
'oeson	'oeson	7			
'oetae'	'oetae'	7			
'oetoeh	'oetoeh	7			
'omalingo'	'omalingo'	7			
'opi:in	'opi:in	7			
pa'aewhay	pa'aewhay	7			
paka'alo'an	paka'alo'an	7			
pakaS'abo'	pakaS'abo'	7			
pak'es'es	pak'es'es	7			
pakrowaSeken	pakrowaSeken	7			
pakSekla'	pakSekla'	7			
pakSikar	pakSikar	7			
palamo:	palamo:	7			
panSawi'	panSawi'	7			
panwakit	panwakit	7			
papaylis	papaylis	7			
paSa:eng	paSa:eng	7			
pateleng	pateleng	7			
patoki:	patoki:	7			
pawa:'	pawa:'	7			
payha'ha'	payha'ha'	7			
paywa:ak	paywa:ak	7			
pi''	pi''	7			
pinae'rem	pinae'rem	7			
pinatawaw	pinatawaw	7			
pipis	pipis	7			
pisaka:	pisaka:	7			
po'abo'en	po'abo'en	7			
pongawpongawan	pongawpongawan	7			
ra:a'	ra:a'	7			
ra:wak	ra:wak	7			
rakeS	rakeS	7			
rara'et	rara'et	7			
rene:	rene:	7			
ririka:	ririka:	7			
rolrol	rolrol	7			
romokrok	romokrok	7			
Sa:	Sa:	7			
Sa:engen	Sa:engen	7			
saka:	saka:	7			
sakel	sakel	7			
Sa'la'	Sa'la'	7			
San	San	7			
Sanloso:	Sanloso:	7			
SanSa'la'	SanSa'la'	7			
SaSa:	SaSa:	7			
sasbong	sasbong	7			
sasi'ael	sasi'ael	7			
Sawik	Sawik	7			
Sayta'	Sayta'	7			
se:ez	se:ez	7			
sibolo'	sibolo'	7			
SikSik	SikSik	7			
sinakoban	sinakoban	7			
Sinin	Sinin	7			
sinoloeh	sinoloeh	7			
Sinpaehpae:	Sinpaehpae:	7			
SinSinrahoe'	SinSinrahoe'	7			
sipsip	sipsip	7			
Sisa'oe'	Sisa'oe'	7			
Sitaew'an	Sitaew'an	7			
Sitimae'	Sitimae'	7			
si'wi'an	si'wi'an	7			
Sobis':	Sobis':	7			
so'hae'	so'hae'	7			
Soma:	Soma:	7			
Sombet	Sombet	7			
somini'ael	somini'ael	7			
Somipot	Somipot	7			
Somorangi'	Somorangi'	7			
tahoki'	tahoki'	7			
takayni'	takayni'	7			
talam	talam	7			
tatakay	tatakay	7			
tatngor	tatngor	7			
tatobok	tatobok	7			
tawbonen	tawbonen	7			
tezek	tezek	7			
ti'anhi'	ti'anhi'	7			
tihoero:en	tihoero:en	7			
tikinsi'ael	tikinsi'ael	7			
tikowis	tikowis	7			
tinektek	tinektek	7			
tipihiz	tipihiz	7			
tiwaS	tiwaS	7			
tokoehen	tokoehen	7			
tomabo:	tomabo:	7			
tomangtang	tomangtang	7			
tomato'	tomato'	7			
tomrong	tomrong	7			
tortoroe'en	tortoroe'en	7			
wa:'ila	wa:'ila	7			
wa'ae'	wa'ae'	7			
waSwaSak	waSwaSak	7			
wili'	wili'	7			
zimos	zimos	7			
SaSoway	SaSoway	6			
sasoway	sasoway	6			
Sinater	Sinater	6			
sinater	sinater	6			
'a:imaboehoe:	'a:imaboehoe:	6			
'a:imatalese'	'a:imatalese'	6			
'a'angang	'a'angang	6			
'abora'	'abora'	6			
'aeh'aehisan	'aeh'aehisan	6			
'a'ehe:en	'a'ehe:en	6			
'a'iyalatar	'a'iyalatar	6			
'akaskesen	'akaskesen	6			
'al'alikaehan	'al'alikaehan	6			
'alay	'alay	6			
'aloehoeh	'aloehoeh	6			
'an'anhilan	'an'anhilan	6			
'ano'	'ano'	6			
'a'olo'on	'a'olo'on	6			
'arol	'arol	6			
'awi'o:	'awi'o:	6			
'awpo'	'awpo'	6			
'awpo'en	'awpo'en	6			
'ay'ayloSay	'ay'ayloSay	6			
'ayna:a'en	'ayna:a'en	6			
'azip	'azip	6			
ba:aw	ba:aw	6			玩，指動物的活動
ba:iS	ba:iS	6			同伴；配偶
baba:oken	baba:oken	6			吃飽
babae:iw	babae:iw	6			要賣的（工具；未來）
babe:eS	babe:eS	6			散亂
babte:	babte:	6			神鞭
balbalay	balbalay	6			
baSe'	baSe'	6			
basez	basez	6			
batbato'an	batbato'an	6			
be:ayani	be:ayani	6			
bilis	bilis	6			
binaehi'	binaehi'	6			
bine:eS	bine:eS	6			
binSi'	binSi'	6			
bintoe'an	bintoe'an	6			
biSbiSin	biSbiSin	6			
bo:ok	bo:ok	6			
boboway	boboway	6			
boka:en	boka:en	6			
'e:eS	'e:eS	6			
'eleben	'eleben	6			
'emleb	'emleb	6			
'eseng	'eseng	6			
'ewel	'ewel	6			
hahako'	hahako'	6			
hahawar	hahawar	6			
hahepot	hahepot	6			
hapi:ih	hapi:ih	6			
hawhawka'	hawhawka'	6			
hayo'en	hayo'en	6			
hehnak	hehnak	6			
hemek	hemek	6			
hi:hi:	hi:hi:	6			
hi:hi:in	hi:hi:in	6			
hibo'	hibo'	6			
hinasengan	hinasengan	6			
hinaw	hinaw	6			
hinibih	hinibih	6			
hinoka:ra'an	hinoka:ra'an	6			
hinowa'	hinowa'	6			
hinpi'an	hinpi'an	6			
hinta'oeloehen	hinta'oeloehen	6			
hoboe'	hoboe'	6			
hoeroe'	hoeroe'	6			
hoewel	hoewel	6			
hola:osan	hola:osan	6			
hola'en	hola'en	6			
homae:op	homae:op	6			
homazab	homazab	6			
homilos	homilos	6			
homopil	homopil	6			
honroton	honroton	6			
hopi''in	hopi''in	6			
hopilani	hopilani	6			
hotok	hotok	6			
'ihoero:	'ihoero:	6			
'ika'a'apaehan	'ika'a'apaehan	6			
'ikakoza'	'ikakoza'	6			
'iltoehoey	'iltoehoey	6			
'inahoek	'inahoek	6			
'inakhini'an	'inakhini'an	6			
'inelet	'inelet	6			
'inewel	'inewel	6			
'inhana:	'inhana:	6			
'inoe'oe:	'inoe'oe:	6			
'in'oetoeh	'in'oetoeh	6			
'inSaylo'	'inSaylo'	6			
'intani'	'intani'	6			
'iSpi'	'iSpi'	6			
'itoSan	'itoSan	6			
'iwazwaz	'iwazwaz	6			
'iyaeh	'iyaeh	6			
'iyahaloeh	'iyahaloeh	6			
'iyahimi'	'iyahimi'	6			
'iya'inoetae'	'iya'inoetae'	6			
'iyapinae'rem	'iyapinae'rem	6			
'iyaSamSem	'iyaSamSem	6			
ka:angaSa'iyae'	ka:angaSa'iyae'	6			
ka'alSayan	ka'alSayan	6			
ka'angangen	ka'angangen	6			
ka'araSen	ka'araSen	6			
ka'ayti:ilan	ka'ayti:ilan	6			
ka'azipin	ka'azipin	6			
kabae:iwan	kabae:iwan	6			買的地方
kabaehi'an	kabaehi'an	6			
kahirhirin	kahirhirin	6			
kahiwa'an	kahiwa'an	6			
kahkarawa'	kahkarawa'	6			
ka'ilo'an	ka'ilo'an	6			
kakalse:	kakalse:	6			
kakara'an	kakara'an	6			
kakato:	kakato:	6			
kakaylis	kakaylis	6			
kakbaba:ok	kakbaba:ok	6			可讓人飽的
kaki:ki:	kaki:ki:	6			
kakita'en	kakita'en	6			
kakmo:ok	kakmo:ok	6			
kakonibih	kakonibih	6			
kakonkonibih	kakonkonibih	6			
kakontae'en	kakontae'en	6			
kakowaS	kakowaS	6			
kal'a:iS	kal'a:iS	6			
kalaSo'an	kalaSo'an	6			
kalbel	kalbel	6			
kalkal	kalkal	6			
kalobengez	kalobengez	6			
kama'ae'ae:aew	kama'ae'ae:aew	6			
kamakibizo'	kamakibizo'	6			
kamama:tol	kamama:tol	6			
kamamaS'abo'	kamamaS'abo'	6			
kamamaySiri:	kamamaySiri:	6			
kamamintotowak	kamamintotowak	6			
kamari'an	kamari'an	6			
kamari'in	kamari'in	6			
kamatoroy	kamatoroy	6			
kamonhael	kamonhael	6			
ka'naben	ka'naben	6			
ka'nal	ka'nal	6			
ka'o:olon	ka'o:olon	6			
ka'osa:an	ka'osa:an	6			
kapa:ngasan	kapa:ngasan	6			
kapa:tatimae'en	kapa:tatimae'en	6			
kapa'inSaylo'en	kapa'inSaylo'en	6			
kapakrowaSeken	kapakrowaSeken	6			
kapaSbaki'an	kapaSbaki'an	6			
kapaSbetan	kapaSbetan	6			
kapaSiloe'en	kapaSiloe'en	6			
kapaSkira:a'en	kapaSkira:a'en	6			
kapay'ae'ay	kapay'ae'ay	6			
kapayaka:'	kapayaka:'	6			
kapayba:'an	kapayba:'an	6			
kapayhahila:an	kapayhahila:an	6			
kapaykasbolan	kapaykasbolan	6			
kapazaz	kapazaz	6			
kaposen	kaposen	6			
kara'oe:an	kara'oe:an	6			
kari'ael	kari'ael	6			
karkaramo'	karkaramo'	6			
kaS	kaS	6			
kaSakayba:enan	kaSakayba:enan	6			
kaSanhae:ae'en	kaSanhae:ae'en	6			
kaSarakan	kaSarakan	6			
kaSaSa:en	kaSaSa:en	6			
kasazeken	kasazeken	6			
kaSebeten	kaSebeten	6			
kaSiki'oes'oeso'an	kaSiki'oes'oeso'an	6			
kaSir'aran	kaSir'aran	6			
kasizaban	kasizaban	6			
kaSna'itol	kaSna'itol	6			
kaSowaboSon	kaSowaboSon	6			
kaSra:'	kaSra:'	6			
kataboe'an	kataboe'an	6			
kataniSowawan	kataniSowawan	6			
kata'owan	kata'owan	6			
katawsas':	katawsas':	6			
katiSkina:atan	katiSkina:atan	6			
katne'	katne'	6			
kawa:'an	kawa:'an	6			
kawa:on	kawa:on	6			
kawnababoyan	kawnababoyan	6			豬舍
ki:imin	ki:imin	6			
kilakil	kilakil	6			
kilwa'is	kilwa'is	6			
kin'ameten	kin'ameten	6			
kinapos	kinapos	6			
kinas'oehaezan	kinas'oehaezan	6			
kinbaki'an	kinbaki'an	6			
kinhopay	kinhopay	6			
kinmaehen	kinmaehen	6			
kinolol	kinolol	6			
kinonkonon	kinonkonon	6			
kinrangi'	kinrangi'	6			
kinrowaSekan	kinrowaSekan	6			
kinSat	kinSat	6			
kintatini'an	kintatini'an	6			
kira:a'	kira:a'	6			
kiS'amet	kiS'amet	6			
kitkita'	kitkita'	6			
kolol	kolol	6			
koma:as	koma:as	6			
komaehos	komaehos	6			
komakabaeh	komakabaeh	6			
komaloeh	komaloeh	6			
komawa'	komawa'	6			
komenken	komenken	6			
komhaema'	komhaema'	6			
komilwa'is	komilwa'is	6			
komlobikol	komlobikol	6			
komontae'	komontae'	6			
konsilaehen	konsilaehen	6			
kontae'en	kontae'en	6			
korkoroy	korkoroy	6			
koso'	koso'	6			
kowi'	kowi'	6			
la:ongi	la:ongi	6			
laehae:	laehae:	6			
lalazem	lalazem	6			
lalengeS	lalengeS	6			
laliw	laliw	6			
lamlamlam	lamlamlam	6			
langlangi:	langlangi:	6			
lazez	lazez	6			
leket	leket	6			
lihlih	lihlih	6			
lingking	lingking	6			
lohaehae'oe:	lohaehae'oe:	6			
lohaperen	lohaperen	6			
lomakay	lomakay	6			
lomamlam	lomamlam	6			
lomihlih	lomihlih	6			
lomotor	lomotor	6			
ma:'aloehoeh	ma:'aloehoeh	6			
ma:ngabas	ma:ngabas	6			
mahila:	mahila:	6			
makakSekla'	makakSekla'	6			
malahang	malahang	6			
malkoysiya'	malkoysiya'	6			
malnomoto:	malnomoto:	6			
malraw	malraw	6			除喪（回娘家）
mamasa'an	mamasa'an	6			
mango'	mango'	6			
mansaehsaeh	mansaehsaeh	6			
maro'	maro'	6			
marpi'	marpi'	6			
maS	maS	6			
maSa:eng	maSa:eng	6			
maShae:wan	maShae:wan	6			
maSroko'	maSroko'	6			
maStalay	maStalay	6			
matapaeh	matapaeh	6			
maybi:	maybi:	6			
maytata'	maytata'	6			
milralom	milralom	6			
minaybi:	minaybi:	6			
minayhael	minayhael	6			上一代；一層
minbolboli'	minbolboli'	6			
minhae:ar	minhae:ar	6			
minhaeha:o'	minhaeha:o'	6			
minpazayan	minpazayan	6			
minpizos	minpizos	6			
minrakeS	minrakeS	6			
mintaewaeh	mintaewaeh	6			
mintoehoey	mintoehoey	6			
miSkakowa:om	miSkakowa:om	6			
miyahaehae:ae'	miyahaehae:ae'	6			
miyoloy	miyoloy	6			
moetmoetae'	moetmoetae'	6			
monSo:ol	monSo:ol	6			
'oehoero:	'oehoero:	6			
'oe'oe:	'oe'oe:	6			
'oma:zaw	'oma:zaw	6			
'oma'ehe:	'oma'ehe:	6			
'omamet	'omamet	6			
'oma'olo'	'oma'olo'	6			
'omarol	'omarol	6			
'omi:'ih	'omi:'ih	6			
'omo'	'omo'	6			
'omo:ol	'omo:ol	6			
'omomaS	'omomaS	6			
'omosa:	'omosa:	6			
'omtot	'omtot	6			
'o'o:ol	'o'o:ol	6			
'oti:imin	'oti:imin	6			
'oyaeh	'oyaeh	6			
pa:kaehoy	pa:kaehoy	6			
pa:tatimae'en	pa:tatimae'en	6			
pa'araS	pa'araS	6			
pabaehi'	pabaehi'	6			
pahazab	pahazab	6			
pahinSaylo'	pahinSaylo'	6			
pahobaz	pahobaz	6			
pa'ilaha:aw	pa'ilaha:aw	6			
pa'inSa'la'en	pa'inSa'la'en	6			
pakakaykayzaehan	pakakaykayzaehan	6			
pak'al'alih	pak'al'alih	6			
pakba:in	pakba:in	6			麻煩；討厭
pakbaSaw	pakbaSaw	6			
pakhawka'	pakhawka'	6			
pakpasay	pakpasay	6			
pakSaSo'	pakSaSo'	6			
paksel	paksel	6			
paksizaeh	paksizaeh	6			
paksopaloy	paksopaloy	6			
panibih	panibih	6			
panra:anen	panra:anen	6			
pansaehsaeh	pansaehsaeh	6			
pa'oral	pa'oral	6			
papae'rem	papae'rem	6			
papahoero:	papahoero:	6			
papaypoSal	papaypoSal	6			
papayra:an	papayra:an	6			
paponibih	paponibih	6			
paS'aelae'	paS'aelae'	6			
