form	lemma	freq	seg	pos	gloss
Sinrahoe'	Sinrahoe'	43			種類；族群；語群；原住民；姓氏；氏族；家族
Si'Si'	Si'Si'	43			白米
nak	nak	42			像是；疑似
rareme:an	rareme:an	42			向天湖
halapaw	halapaw	41			床
ngizo'	ngizo'	41			跌倒
raro:o'	raro:o'	41			名字
talka:	talka:	41			桌子；書桌
'anhil	'anhil	40			甘甜
'aroma'	'aroma'	40			其他；其餘
hae:wan	hae:wan	40			晚上；夜晚
haSa'	haSa'	40			不會；不知；不懂
koko:ol	koko:ol	40			山；山上
tawmo'	tawmo'	40			香蕉
kala	kala	39			屬人之處所格
kapowa'en	kapowa'en	39			做什麼；幹嘛
wa'isan	wa'isan	39			強壯的；強大的；厲害
'an	'an	38			的
baboy	baboy	38			豬；外省人
howaw	howaw	38			事情
'iyo'	'iyo'	38			藥
mita'	mita'	38			我們的；咱們的
ngiyaw	ngiyaw	38			貓
pinatiyay	pinatiyay	38			水田
haysiya	haysiya	37			還在；還是；仍然
homangih	homangih	37			哭；哭泣
kabkabaehae:	kabkabaehae:	37			鳥
mama'	mama'	37			伯父；叔叔；舅舅
kahiya'	kahiya'	36			昨天
kasnaw	kasnaw	36			湯
'omoral	'omoral	36			下雨
pinaskayzaeh	pinaskayzaeh	36			所做的
':zo'	':zo'	35			
boSok	boSok	34			酒醉
hahngae'	hahngae'	34			褲子；女性長褲
honaehnge:	honaehnge:	34			久；很久；長期
lalo'	lalo'	34			女子名
sem'el	sem'el	34			生長
sin'elan	sin'elan	34			長相；生長過程（完成）
tatilhaehael	tatilhaehael	34			幫忙
'anhi'	'anhi'	33			竹筍
bekeS	bekeS	33			頭髮
minSa'la'	minSa'la'	33			先；暫時
ranaw	ranaw	33			洗澡；洗
Siba:'	Siba:'	33			
ta'oeloeh	ta'oeloeh	33			頭
tata'	tata'	33			小米
tatimae'an	tatimae'an	33			菜園
hinbetel	hinbetel	32			草
kabat	kabat	32			椅子；凳子
nasiya	nasiya	32			他們的（屬格）
tatpo'	tatpo'	32			帽子
tikot	tikot	32			害怕；擔心
wa:ila	wa:ila	32			過來；來
binlengan	binlengan	31			石牆；牆
haba:an	haba:an	31			夏天
hiniba:	hiniba:	31			穿的
hinra:iy	hinra:iy	31			出嫁
mae'rem	mae'rem	31			睡覺；飽食
maskes	maskes	31			冷
naka	naka	31			像是；好像；屬格
niya'om	niya'om	31			我們
'oSa'	'oSa'	31			去
patawaw	patawaw	31			工作
Saypapa:aS	Saypapa:aS	31			泰雅族
tinal'oemaeh	tinal'oemaeh	31			年；歲
towanay	towanay	31			撈子
as'asay	as'asay	31			熟；浪費
ba:yoS	ba:yoS	30			颱風
hikor	hikor	30			背部；後面
hopay	hopay	30			辛苦；累
lala:'	lala:'	30			
makakSiyae'	makakSiyae'	30			矮靈
'oki	'oki	30			
rowaSek	rowaSek	30			居住
'alikaeh	'alikaeh	29			快速
bolalasan	bolalasan	29			白色
hahi:	hahi:	29			
hapis	hapis	29			飛鼠
hapoy	hapoy	29			火
hosong	hosong	29			猴子
'inokay	'inokay	29			沒有；不曾
kizaw	kizaw	29			女子名
koSa'	koSa'	29			說
minowa'	minowa'	29			喜歡；興趣；習慣
'aehael	'aehael	28			兄弟姊妹
'inomaS	'inomaS	28			醃肉；醃製品
kama	kama	28			專門做某件事；負責做某件事的人（前綴）.
kateSnenan	kateSnenan	28			門
langi:	langi:	28			旁邊；附近
lolongan	lolongan	28			小溪
Say	Say	28			來自於；在
ta'ila	ta'ila	28			走；去；走（邀約）
'iban	'iban	27			男子名
kaSa:engan	kaSa:engan	27			位子
ngowip	ngowip	27			忘記
'omangang	'omangang	27			罵
panga'	panga'	27			分枝
potngor	potngor	27			到達
rae'oe:	rae'oe:	27			喝
sazeken	sazeken	27			聞
Sina:iS	Sina:iS	27			繩索
toway	toway	27			女子名
'amiSan	'amiSan	26			冬天
hingha'	hingha'	26			一樣
'iniSo'	'iniSo'	26			給你（予格）
kaspengan	kaspengan	26			文化；習俗
koza'	koza'	26			多少
linaSo'	linaSo'	26			便當
masa'	masa'	26			眼睛
nimon	nimon	26			你們（屬格）
para:in	para:in	26			男子名
powawan	powawan	26			飯碗；碗
rae:iw	rae:iw	26			走（離開）
rim'aen	rim'aen	26			明天
tabin	tabin	26			到；直到；到達
kabina:o'	kabina:o'	25			女孩（12歲以上未婚女子）
'ay	'ay	25			好；好的
'ayna:a'	'ayna:a'	25			等
ba:'	ba:'	25			
hoehoe'	hoehoe'	25			乳房
kabina:o'	kabina:o'	25			小姐；姑娘；女孩（12歲以上未婚女子）
kas'oehaez	kas'oehaez	25			出現
mayaka:'	mayaka:'	25			
rape:	rape:	25			祭場；場地
Saehae'	Saehae'	25			掉下去
hani	hani	24			這裡（看不到的）
hataS	hataS	24			工寮
mali'	mali'	24			球
SibSiba:'	SibSiba:'	24			
Sil':	Sil':	24			
ta'ay	ta'ay	24			矮靈
sobae:oeh	sobae:oeh	23			大；長大
'a'inola'	'a'inola'	23			跳舞；考試；比賽
be:ay	be:ay	23			給
binbiniSitan	binbiniSitan	23			瓶子
boe'oel	boe'oel	23			骨頭
hahiwa'	hahiwa'	23			鋸子
hewek	hewek	23			豆類
'iya'zaw	'iya'zaw	23			清涼
ka:'	ka:'	23			
mari'in	mari'in	23			拿走；被錄取
minae'rem	minae'rem	23			睡覺
min'itol	min'itol	23			起來；起床
panra:an	panra:an	23			走路
pinama'	pinama'	23			背的
pinayaka:'	pinayaka:'	23			
rayno'	rayno'	23			在哪裡；哪裡
taheS	taheS	23			
tomalek	tomalek	23			煮（菜）
'a'leb	'a'leb	22			門
biyae'	biyae'	22			草；葉子
'inay	'inay	22			來自；從某處；所有格
'inSa'la'	'inSa'la'	22			先；暫時
kamatortoroe'	kamatortoroe'	22			老師
kapaSta'ayan	kapaSta'ayan	22			矮靈祭場；矮靈祭期
pak'as'asay	pak'as'asay	22			煮熟
pangih	pangih	22			傷口
rino:o'	rino:o'	22			命名（完成）；名稱
takil	takil	22			簍子；背簍
Siyae'	Siyae'	21			高興；開心
wasal	wasal	21			海
binotoe'	binotoe'	21			綁（完成）
hewen	hewen	21			女子名
hiba:	hiba:	21			穿（衣服）
moto:	moto:	21			客家人
papama'	papama'	21			騎乘；搭乘
Sin	Sin	21			叫（名字）
titiyon	titiyon	21			朱姓（氏族名）
'aeh'aehael	'aeh'aehael	20			親戚；朋友
'aewhaeS	'aewhaeS	20			老鼠
'angiS	'angiS	20			
baehi'	baehi'	20			洗（衣物）
hinohaes	hinohaes	20			窗戶
hona'a:ih	hona'a:ih	20			
hoSa:	hoSa:	20			
'ilaS	'ilaS	20			月亮；月份；月
'iyok	'iyok	20			橘子
kakoring	kakoring	20			打架
kapa:tol	kapa:tol	20			歌曲
maya'	maya'	20			女子名
ngangilaehan	ngangilaehan	20			紅色；紅色的
'oem'oemaeh	'oem'oemaeh	20			土地；旱地
'omalep	'omalep	20			打獵（主事）
'omaS'aSay	'omaS'aSay	20			浪費（主事）
paSbaki'	paSbaki'	20			祖靈祭
pinatiyayan	pinatiyayan	20			田裡
rae'oe:en	rae'oe:en	20			喝（受事）
ririm'aenan	ririm'aenan	20			早上；清晨
Sahoe'	Sahoe'	20			燃燒
Sebeten	Sebeten	20			打
tihoero:	tihoero:	20			找到
timo'	timo'	20			鹽
to:o'	to:o'	20			三（數字）
tomnon	tomnon	20			編織
'aSkanen	'aSkanen	19			放置（受事）
bibi:	bibi:	19			鴨子
hara	hara	19			像是；疑似
'inaro'	'inaro'	19			長的（條狀物）；頭髮
kaskesen	kaskesen	19			
lampez	lampez	19			十（數字）
lamsong	lamsong	19			南庄
latar	latar	19			外面
malbel	malbel	19			倒下
'oesizo:	'oesizo:	19			蛋
pae'rem	pae'rem	19			睡覺
raerae'oe:	raerae'oe:	19			喝酒
Sekla'	Sekla'	19			認識
tawtaw	tawtaw	19			
'a:	'a:	18			
'ae:'ae:iw	'ae:'ae:iw	18			乾的
'amet	'amet	18			
'araS	'araS	18			攜帶
haleb	haleb	18			吊橋；橋梁
hobos	hobos	18			
homayap	homayap	18			飛（主事）
'inaro:	'inaro:	18			
kae'niw	kae'niw	18			
kerpe:	kerpe:	18			肥沃；肥胖
komi:	komi:	18			
lal'oz	lal'oz	18			足夠
makakreng	makakreng	18			勤勞
malat	malat	18			刀子；番刀
pahoehoe'	pahoehoe'	18			
pakza:zih	pakza:zih	18			吵鬧
pinanabih	pinanabih	18			所說的
ramo'	ramo'	18			血；血液
rarahoe'	rarahoe'	18			大
rokol	rokol	18			芋頭
sawa'	sawa'	18			笑
Siloe'	Siloe'	18			珠串；貝珠
sini'ael	sini'ael	18			吃
talek	talek	18			煮
tinon	tinon	18			
tiyal	tiyal	18			
hawka'	hawka'	17			消失；不見
homngas	homngas	17			叫
''iyaeh	''iyaeh	17			
kapae'reman	kapae'reman	17			房間；床鋪
kipazay	kipazay	17			'
lalangoy	lalangoy	17			游泳；跑（祈使）
mamowa'	mamowa'	17			種植
nak'ino'	nak'ino'	17			怎麼
pinahila:	pinahila:	17			曬的
potoy	potoy	17			包起來
Sa:eng	Sa:eng	17			坐下
Sawi'	Sawi'	17			獅潭（地名）
sitaew	sitaew	17			蘿蔔
ta:'itol	ta:'itol	17			攀爬
tata:oS	tata:oS	17			漁網
tomortoroe'	tomortoroe'	17			教學；教導；教
toroe'	toroe'	17			
wa:ay	wa:ay	17			麵線
'aS'aSay	'aS'aSay	16			熟；浪費
'ayaeh	'ayaeh	16			生病
B:	B:	16			
baseng	baseng	16			陷阱
homSoS	homSoS	16			嚇到
ho'ol	ho'ol	16			糯米
'inowan	'inowan	16			何時；什麼時候
'inSo'o'a	'inSo'o'a	16			你的
kapatawawen	kapatawawen	16			工作；工作的
kil	kil	16			和；與；和（多數人）
kin''iyaeh	kin''iyaeh	16			
kowaw	kowaw	16			老鷹
'omawpo'	'omawpo'	16			抱（受事）
pamowa'	pamowa'	16			種植
panabih	panabih	16			告訴（別人）
ra:ma'	ra:ma'	16			雨傘
ra:waS	ra:waS	16			遠
romae'oe:	romae'oe:	16			喝酒
Sinpan	Sinpan	16			
soma:om	soma:om	16			鋒利
ti:iS	ti:iS	16			擦（地板、窗戶）
ti'a'	ti'a'	16			針
zinowas	zinowas	16			紙；紙張；紙牌
'al'alak	'al'alak	15			年輕；青年
'alipa'	'alipa'	15			杉木
'aro'	'aro'	15			男子名
ba:in	ba:in	15			懶
baba:'	baba:'	15			
binae:iw	binae:iw	15			買（完成）
bine:ay	bine:ay	15			給；付
ha:olhoel	ha:olhoel	15			暖和
habaeh	habaeh	15			
hako'	hako'	15			山羌
hangih	hangih	15			哭
hawaw	hawaw	15			枝條
hiba:en	hiba:en	15			穿（衣服）
hila:an	hila:an	15			下午
hin'az'azem	hin'az'azem	15			心情；思想
homiba:	homiba:	15			穿（衣服）
'inalingo'	'inalingo'	15			相片；影像
ka:at	ka:at	15			寫
kaka:at	kaka:at	15			筆
kakrangi'an	kakrangi'an	15			東西；器具；物品；禮品；財寶
kamanra:an	kamanra:an	15			男人
kanman	kanman	15			在我這
kapamowa'	kapamowa'	15			
kapatawawan	kapatawawan	15			工作的地方；辦公室；工廠；公司
kaS'abo'	kaS'abo'	15			進入
kawkel	kawkel	15			女子名
ki:	ki:	15			
lomowang	lomowang	15			
makSa'	makSa'	15			立即；馬上
maSpalaw	maSpalaw	15			回娘家（主事）
mayhael	mayhael	15			未來
'o:ol	'o:ol	15			保留
'oeso'	'oeso'	15			芒草
pa:ka:'	pa:ka:'	15			
pak'akoey	pak'akoey	15			多
pakal	pakal	15			柿子
pakayzaeh	pakayzaeh	15			保重；使好
pama'	pama'	15			背負；背
paSkira:a'	paSkira:a'	15			申請
payaka:'	payaka:'	15			
pit'aza'	pit'aza'	15			播種祭；祖靈祭
romakep	romakep	15			抓；捉
Sapel	Sapel	15			鋪床
sinakeban	sinakeban	15			屋頂；頂
Sipasi'ael	Sipasi'ael	15			請吃；餵；給吃
taro'	taro'	15			男子名
tateleng	tateleng	15			
tatoroe'	tatoroe'	15			學習；體驗
timasa'	timasa'	15			洗澡；洗臉；洗身體其他部分
toma:oS	toma:oS	15			撈網（主事）
watan	watan	15			男子名
salawa'	salawa'	14			減少
ta:os	ta:os	14			男子名
'araSen	'araSen	14			帶走(受事）
'asang	'asang	14			村莊；部落
bizo'	bizo'	14			木炭
boeloe'ani	boeloe'ani	14			丟掉
'elngihan	'elngihan	14			黑色
hahoway	hahoway	14			鞋子
'inoka'	'inoka'	14			屬格；所有格；屬於；未曾
kapanra:anan	kapanra:anan	14			道路；健走
kaSlatar	kaSlatar	14			出去
minpoetoeh	minpoetoeh	14			斷了
mowahil	mowahil	14			寬敞；寬廣
ngabas	ngabas	14			嘴巴
pakpaka'alo'an	pakpaka'alo'an	14			非常可憐
pas'el	pas'el	14			舉行
pasi'ael	pasi'ael	14			吃（使動）；餵
paskayzaehen	paskayzaehen	14			製作成
pawka'	pawka'	14			遺失
pon'a:iS	pon'a:iS	14			觸碰
ra:amen	ra:amen	14			可能
riza	riza	14			那裡
SaSo'	SaSo'	14			新的
Sibe:ay	Sibe:ay	14			給（工具焦點）
si'wi'	si'wi'	14			暗
sizaeh	sizaeh	14			完畢
Somobae:oeh	Somobae:oeh	14			
takita'	takita'	14			
tatoba'	tatoba'	14			
tinokoeh	tinokoeh	14			
wa'is	wa'is	14			力量
yanay	yanay	14			媳婦
'ae'az	'ae'az	13			翅膀
balihaeh	balihaeh	13			
bangih	bangih	13			鹹的
baso'	baso'	13			燃燒（稻草）
bori:	bori:	13			肉
'eleb	'eleb	13			關上（門；窗）
haba:'in	haba:'in	13			
hinSaylo'	hinSaylo'	13			旋轉；轉圈
hinta'oeloeh	hinta'oeloeh	13			
hiwa'	hiwa'	13			殺
honha:'	honha:'	13			
'inimon	'inimon	13			給你們的；你們（予格）
'iniya'om	'iniya'om	13			我們的；我們（受）
'iS	'iS	13			你們
'iyakina	'iyakina	13			我想
kahila:an	kahila:an	13			白天；晝日
kangeselan	kangeselan	13			鼻子
karae'oe:en	karae'oe:en	13			喝（未來受事焦點）
kawnatata:a'an	kawnatata:a'an	13			雞舍
koloban	koloban	13			湯鍋
komowih	komowih	13			挖掘
ma:riyae'	ma:riyae'	13			腫
marma'	marma'	13			偷竊
mobe:ay	mobe:ay	13			給予
nakhini	nakhini	13			這樣
nay	nay	13			嗎；呢
pa:tol	pa:tol	13			唱歌
pa'alowa'	pa'alowa'	13			交代；託付
pakoSa'	pakoSa'	13			以為
pasay	pasay	13			
pezngesan	pezngesan	13			紫色的
pinotoy	pinotoy	13			包裹
ra:ami	ra:ami	13			知道
ray'in	ray'in	13			蓬萊（地名）
Sarara'	Sarara'	13			喜歡
se'el	se'el	13			長大
Sopat	Sopat	13			四
tabowil	tabowil	13			大黃瓜
tatango:	tatango:	13			蚊子
tatangoe'	tatangoe'	13			鳥嘴；啄
toba'	toba'	13			
'a'eleb	'a'eleb	12			門
